fold,epoch,class,accuracy,precision,recall,f1-score,overall_accuracy
1,5,0,0.8780487804878049,0.972972972972973,0.8780487804878049,0.9230769230769231,0.6979522184300342
1,5,1,0.6333333333333333,0.4367816091954023,0.6333333333333333,0.5170068027210885,0.6979522184300342
1,5,2,0.4876543209876543,0.7596153846153846,0.4876543209876543,0.5939849624060151,0.6979522184300342
1,5,3,0.7,0.21212121212121213,0.7,0.32558139534883723,0.6979522184300342
1,5,4,0.40425531914893614,0.5135135135135135,0.40425531914893614,0.4523809523809524,0.6979522184300342
1,6,0,0.9059233449477352,0.9885931558935361,0.9059233449477352,0.9454545454545454,0.7457337883959044
1,6,1,0.6666666666666666,0.4819277108433735,0.6666666666666666,0.5594405594405595,0.7457337883959044
1,6,2,0.6234567901234568,0.7709923664122137,0.6234567901234568,0.689419795221843,0.7457337883959044
1,6,3,0.6333333333333333,0.25675675675675674,0.6333333333333333,0.36538461538461536,0.7457337883959044
1,6,4,0.3617021276595745,0.4857142857142857,0.3617021276595745,0.4146341463414634,0.7457337883959044
1,7,0,0.8292682926829268,0.9916666666666667,0.8292682926829268,0.9032258064516129,0.7047781569965871
1,7,1,0.6333333333333333,0.36538461538461536,0.6333333333333333,0.4634146341463415,0.7047781569965871
1,7,2,0.6049382716049383,0.7596899224806202,0.6049382716049383,0.6735395189003437,0.7047781569965871
1,7,3,0.6,0.27692307692307694,0.6,0.37894736842105264,0.7047781569965871
1,7,4,0.44680851063829785,0.4375,0.44680851063829785,0.4421052631578947,0.7047781569965871
1,8,0,0.9303135888501742,0.9888888888888889,0.9303135888501742,0.9587073608617595,0.7525597269624573
1,8,1,0.7166666666666667,0.5119047619047619,0.7166666666666667,0.5972222222222222,0.7525597269624573
1,8,2,0.5925925925925926,0.768,0.5925925925925926,0.6689895470383276,0.7525597269624573
1,8,3,0.5666666666666667,0.2236842105263158,0.5666666666666667,0.32075471698113206,0.7525597269624573
1,8,4,0.3829787234042553,0.5806451612903226,0.3829787234042553,0.46153846153846156,0.7525597269624573
1,9,0,0.7804878048780488,1.0,0.7804878048780488,0.8767123287671232,0.6757679180887373
1,9,1,0.65,0.3333333333333333,0.65,0.4406779661016949,0.6757679180887373
1,9,2,0.6234567901234568,0.7426470588235294,0.6234567901234568,0.6778523489932886,0.6757679180887373
1,9,3,0.5333333333333333,0.2318840579710145,0.5333333333333333,0.32323232323232326,0.6757679180887373
1,9,4,0.3404255319148936,0.4,0.3404255319148936,0.367816091954023,0.6757679180887373
1,10,0,0.9128919860627178,0.9924242424242424,0.9128919860627178,0.9509981851179673,0.7576791808873721
1,10,1,0.7333333333333333,0.5,0.7333333333333333,0.5945945945945946,0.7576791808873721
1,10,2,0.6358024691358025,0.7686567164179104,0.6358024691358025,0.6959459459459459,0.7576791808873721
1,10,3,0.5,0.23076923076923078,0.5,0.3157894736842105,0.7576791808873721
1,10,4,0.425531914893617,0.5714285714285714,0.425531914893617,0.4878048780487805,0.7576791808873721
1,11,0,0.867595818815331,0.996,0.867595818815331,0.9273743016759777,0.7337883959044369
1,11,1,0.6,0.43373493975903615,0.6,0.5034965034965035,0.7337883959044369
1,11,2,0.6604938271604939,0.7482517482517482,0.6604938271604939,0.7016393442622951,0.7337883959044369
1,11,3,0.7,0.25,0.7,0.3684210526315789,0.7337883959044369
1,11,4,0.3617021276595745,0.6538461538461539,0.3617021276595745,0.4657534246575342,0.7337883959044369
1,12,0,0.9407665505226481,0.9712230215827338,0.9407665505226481,0.9557522123893806,0.7372013651877133
1,12,1,0.55,0.5076923076923077,0.55,0.528,0.7372013651877133
1,12,2,0.5617283950617284,0.7398373983739838,0.5617283950617284,0.6385964912280702,0.7372013651877133
1,12,3,0.7,0.23595505617977527,0.7,0.35294117647058826,0.7372013651877133
1,12,4,0.3617021276595745,0.5483870967741935,0.3617021276595745,0.4358974358974359,0.7372013651877133
1,13,0,0.9407665505226481,0.9854014598540146,0.9407665505226481,0.9625668449197861,0.7764505119453925
1,13,1,0.5333333333333333,0.5245901639344263,0.5333333333333333,0.5289256198347108,0.7764505119453925
1,13,2,0.7222222222222222,0.7358490566037735,0.7222222222222222,0.7289719626168224,0.7764505119453925
1,13,3,0.6333333333333333,0.3064516129032258,0.6333333333333333,0.41304347826086957,0.7764505119453925
1,13,4,0.3617021276595745,0.5666666666666667,0.3617021276595745,0.44155844155844154,0.7764505119453925
